group,pt,project_id,title,reason_de,reason_en,budget_proposal_chf,pure_budget
D,2,102,Afro Classic,"Herz, berührt, Verbindung von Kulturen, Fusion","Heart, touched, connection of cultures, fusion",,
D,1,52,Schwizer Panetone,"Sensibilisierung, Neu, Kreativ, Sticht heraus","Raise Awareness, new, creative, stands out",,
E,5,102,Afro-Classics,Frei zugänglich & Kultur (deckt alles),Freely accessible & culture (covers all),,
E,4,12,Bambolini,Frei zugänglich,Freely accessible,,
E,3,14,Pedibus,"Frei zugänglich, Natur","Freely accessible, nature",,
E,2,16,Dokfilm,Sensibilisieren,Raise Awareness,,
E,1,93,Gesehen,Sensibilisieren,Raise Awareness,,
F,5,112,Sub Factory,"Herz, Inspiration, Outdoor, für alle","Heart, inspiration, outdoor, for everyone",,
F,4,126,Connection instead Addiction,"Inklusion und Integration, Für alle sichtbar, Währt baut auf!, Lernen, sensibilisierend","Inclusion and integration, Visible for all, Builds endurance, Learning, raising awareness",CHF 9'000,9'000
F,3,146,Tauch-Festival,"Zugänglich, Auf-Tausch, sensibilisierend","Accessible, On-exchange, raising awareness",,
F,2,12,Bambolini!,"Mitmachen, Lernen, Natur, Kultur","Participate, learn, nature, culture",,
F,1,147,Konzertreihe Selle Bélovar,"Inspirierend, Fusion","Inspiring, fusion",CHF 6'000,6'000
1,5,93,Gesehen,"Inspiration, feministisch, frei zugänglich","Inspiration, feminist, freely accessible",,
1,4,126,Connection instead Addiction,"Regional, Inklusion, Austausch","Regional, inclusion, exchange",,
1,3,16,Dokfilm,"Regional, Sensibilisierung, Austausch","Regional, raising awareness, exchange",,
1,2,20,Cashflow,"Neu, Unterhaltung, Finanzierung","New, entertainment, financing",CHF 15'000,15'000
1,1,81,AlbTraumWelt,"Sozial, Jugend, Austausch, Kunst","Social, youth, exchange, art",,
2,5,9,F-E Filmpreis,"Gewichtung f. Themen, Umwelt, Neu","Emphasis on themes, environment, new",,
2,4,102,Afro Classics,"Zugänglichkeit, Inspiration, Frei","Accessibility, inspiration, free",,
2,3,126,Connection Instead Addiction,"Zugänglichkeit, Stadtbild verbessern, Inklusion","Accessibility, improve cityscape, inclusion",,
2,2,65,Clown-Theater,"Zugänglichkeit, Eintritt frei, Berührt Herz","Accessibility, free entry, touches heart",,
2,1,112,Sub-Factory,"Zugänglichkeit, Draussen, Natur","Accessibility, outdoors, nature",,
3,5,112,Sub Factory,"Neues Format, Kulturell","New format, Cultural",,
3,4,102,Afro-Classics,"Aufklärung, Kultur","Education, Culture",,
3,3,5,"Wir, hier",Bezug zu Winti,Reference to Winterthur,CHF 16'000 - fördern,16'000
3,2,78,Die Schöpfung,Zugänglichkeit,Accessibility,,
3,1,65,Clown-Theater,Zugänglichkeit,Accessibility,CHF 13'000,13'000
4,5,126,Geschiebe,"sozial, zugänglich","social, accessible",Volle Summe,
4,4,16,Dokfilm,"für alle, wichtiges Thema, sichtbar machen","for all, important topic, make visible",Volle Summe,
4,3,93,Gesehen,"Frauen in Winti, Generationen","Women in Winterthur, generations",Volle Summe,
4,2,81,Alb Traum Welt,"Jung / psychedelisch, visuell, kreativ","Young / psychedelic, visual, creative",Volle Summe,
4,1,142,copy past,"inspirierend, künstlerisch","inspiring, artistic",Volle Summe,
5,5,117,Lauschig-Worte im Freien,"Wirk sicht auf, outdoor","Works visually, outdoor",CHF 30'000,30'000
5,4,126,Connection instead Addiction,"Lernen, Inspirierend, Austausch","Learning, inspiring, exchange",,
5,3,16,Dokfilm: Die Unsichtbaren,"Verändernd, Inklusion & Integration","Changing, inclusion & integration",,
5,2,12,Bambolini!,Zugänglichkeit,Accessibility,,
5,1,30,Residence Project,"Inspirierend, Neu, Förderung junge Talente","Inspiring, new, support for young talents",,
6,5,117,Lauschig,"Zugänglichkeit, Bezug zu Winterthur, Inspirierender Austausch","Accessibility, Reference to Winterthur, Inspiring Exchange",,
6,4,147,Bolívar,"Zugänglichkeit, Neu inspirierend, Austausch","Accessibility, Newly inspiring, Exchange",,
6,3,76,Peter und der Wolf,"Zugänglichkeit, Generationenübergreifend","Accessibility, Cross-generational",Minimum CHF 10'000,10'000
6,2,14,Pedibus,"Natur, Neu, Für alle","Nature, New, For all",Minimum CHF 12'000,12'000
6,1,52,Pantone,"Inspirierend, Sensibilisierung","Inspiring, Sensitization",,
